text,author,tags
"
      “We read to know we're not alone.”
  ","
    William Nicholson,
  ","misattributed-to-c-s-lewis,reading"
"
      “Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”
  ","
    John Green,
  ","books,power-of-words,reading"
"
      “All you need is love. But a little chocolate now and then doesn't hurt.”
  ","
    Charles M. Schulz
  ","chocolate,food,humor"
"
      “Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”
  ","
    J.K. Rowling,
  ",dumbledore
"
      “Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
  ","
    Jim Henson
  ",humor
"
      “Life isn't about finding yourself. Life is about creating yourself.”
  ","
    George Bernard Shaw
  ","inspirational,life,yourself"
"
      “Today you are You, that is truer than true. There is no one alive who is Youer than You.”
  ","
    Dr. Seuss,
  ","comedy,life,yourself"
"
      “It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all—in which case, you fail by default.”
  ","
    J.K. Rowling
  ",
"
      “To the well-organized mind, death is but the next great adventure.”
  ","
    J.K. Rowling,
  ","death,dumbledore,harry,inspirational,philosophers-stone,ron,sorcerers-stone"
"
      “I'm not afraid of death; I just don't want to be there when it happens.”
  ","
    Woody Allen
  ","death,fear,humor,life"
"
      “If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”
  ","
    Oscar Wilde
  ","books,reading"
"
      “If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”
  ","
    Albert Einstein
  ","attributed-no-source,children,fairy-tales"
"
      “Have you fallen in love with the wrong person yet?'","
    Cassandra Clare,
  ","city-of-bones,jace"
"
      “I'm in love with you,"" he said quietly.","
    John Green,
  ","doomed,inevitable,love,oblivion,pleasure,simple"
"
      “Logic will get you from A to Z; imagination will get you everywhere.”
  ","
    Albert Einstein
  ","attributed-no-source,imagination"
"
      “Whenever I feel the need to exercise, I lie down until it goes away.”
  ","
    Paul   Terry
  ","exercise,humor,laziness,misattributed-to-hutchins"
"
      “I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”
  ","
    Nicholas Sparks,
  ",love
"
      “Sometimes people are beautiful.","
    Markus Zusak,
  ","beauty,life"
"
      “You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”
  ","
    John Green,
  ","satisfaction,self-determination"
"
      “The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”
  ","
    Bob Marley
  ",friendship
"
      “Love looks not with the eyes, but with the mind,","
    William Shakespeare,
  ",love
"
      “The more that you read, the more things you will know. The more that you learn, the more places you'll go.”
  ","
    Dr. Seuss,
  ","learning,reading,seuss"
"
      “Folks are usually about as happy as they make their minds up to be.”
  ","
    Abraham Lincoln
  ","attributed-no-source,happiness"
"
      “Do what you can, with what you have, where you are.”
  ","
    Theodore Roosevelt
  ",inspirational
"
      “There is no friend as loyal as a book.”
  ","
    Ernest Hemingway
  ","books,friends,novelist-quotes"
"
      “One good thing about music, when it hits you, you feel no pain.”
  ","
    Bob Marley
  ",music
"
      “I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”
  ","
    Groucho Marx 
  ","books,humor,reading,television"
"
      “The story so far:","
    Douglas Adams,
  ","humor,scifi"
"
      “Success is not final, failure is not fatal: it is the courage to continue that counts.”
  ","
    Winston S. Churchill
  ","bravery,courage,failure,inspirational,success"
"
      “Not all of us can do great things. But we can do small things with great love.”
  ","
    Mother Teresa
  ","misattributed-to-mother-teresa,paraphrased"
"
      “Love is like the wind, you can't see it but you can feel it.”
  ","
    Nicholas Sparks,
  ","love,simile"
"
      “When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”
  ","
    Helen Keller
  ",inspirational
"
      “Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”
  ","
    Shel Silverstein
  ","anything-can-be,hope,impossible,inspirational,musn-t,possibilities,shouldn-t,won-t"
"
      “So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”
  ","
    Stephen Chbosky,
  ","charlie,favourite-books,inspirational,sad,soul-searching,wallflower"
"
      “If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”
  ","
    Joan Powers,
  ","friendship,misattributed-a-a-milne"
"
      “There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”
  ","
    Jane Austen,
  ","friendship,love"
"
      “Life is like riding a bicycle. To keep your balance, you must keep moving.”
  ","
    Albert Einstein
  ","life,simile"
"
      “People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. ","
    Elizabeth Gilbert,
  ",love
"
      “Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”
  ","
    John Green
  ","humor,nerdfighters"
"
      “Some people never go crazy. What truly horrible lives they must lead.”
  ","
    Charles Bukowski
  ",humor
"
      “You don't love someone because they're perfect, you love them in spite of the fact that they're not.”
  ","
    Jodi Picoult,
  ","imperfect,love"
"
      “It matters not what someone is born, but what they grow to be.”
  ","
    J.K. Rowling,
  ",dumbledore
"
      “The difference between genius and stupidity is: genius has its limits.”
  ","
    Alexandre Dumas-fils
  ",misattributed-to-einstein
"
      “What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”
  ","
    J.D. Salinger,
  ","authors,books,literature,reading,writing"
"
      “Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”
  ","
    Anais Nin
  ","death,love"
"
      “If you can make a woman laugh, you can make her do anything.”
  ","
    Marilyn Monroe
  ","attributed-no-source,girls,love"
